cluster_idx	scan	mz	RTINSECONDS	index in file	source filename
378	590	466.27	0	590	datasets/MSV000078787_specs_ms.mgf
378	593	466.762	0	593	datasets/MSV000078787_specs_ms.mgf
378	594	467.173	0	594	datasets/MSV000078787_specs_ms.mgf
378	600	467.749	0	600	datasets/MSV000078787_specs_ms.mgf
383	596	467.211	0	596	datasets/MSV000078787_specs_ms.mgf
383	598	467.312	0	598	datasets/MSV000078787_specs_ms.mgf
387	602	468.276	0	602	datasets/MSV000078787_specs_ms.mgf
387	607	469.215	0	607	datasets/MSV000078787_specs_ms.mgf
387	608	469.247	0	608	datasets/MSV000078787_specs_ms.mgf
387	616	470.147	0	616	datasets/MSV000078787_specs_ms.mgf
387	622	471.128	0	622	datasets/MSV000078787_specs_ms.mgf
392	609	469.31	0	609	datasets/MSV000078787_specs_ms.mgf
392	619	470.275	0	619	datasets/MSV000078787_specs_ms.mgf
392	620	470.28	0	620	datasets/MSV000078787_specs_ms.mgf
392	623	471.181	0	623	datasets/MSV000078787_specs_ms.mgf
392	626	471.228	0	626	datasets/MSV000078787_specs_ms.mgf
392	628	471.253	0	628	datasets/MSV000078787_specs_ms.mgf
401	621	470.365	0	621	datasets/MSV000078787_specs_ms.mgf
401	630	471.32	0	630	datasets/MSV000078787_specs_ms.mgf
401	632	471.737	0	632	datasets/MSV000078787_specs_ms.mgf
401	634	472.121	0	634	datasets/MSV000078787_specs_ms.mgf
401	635	472.197	0	635	datasets/MSV000078787_specs_ms.mgf
401	638	472.237	0	638	datasets/MSV000078787_specs_ms.mgf
401	639	472.258	0	639	datasets/MSV000078787_specs_ms.mgf
401	640	472.26	0	640	datasets/MSV000078787_specs_ms.mgf
401	642	472.279	0	642	datasets/MSV000078787_specs_ms.mgf
410	643	472.327	0	643	datasets/MSV000078787_specs_ms.mgf
410	644	472.341	0	644	datasets/MSV000078787_specs_ms.mgf
410	646	472.739	0	646	datasets/MSV000078787_specs_ms.mgf
410	647	473.096	0	647	datasets/MSV000078787_specs_ms.mgf
410	649	473.294	0	649	datasets/MSV000078787_specs_ms.mgf
414	650	473.343	0	650	datasets/MSV000078787_specs_ms.mgf
414	652	473.797	0	652	datasets/MSV000078787_specs_ms.mgf
414	655	474.236	0	655	datasets/MSV000078787_specs_ms.mgf
414	657	474.284	0	657	datasets/MSV000078787_specs_ms.mgf
414	658	474.286	0	658	datasets/MSV000078787_specs_ms.mgf
417	654	474.35	0	654	datasets/MSV000078787_specs_ms.mgf
417	660	474.926	0	660	datasets/MSV000078787_specs_ms.mgf
420	662	475.163	0	662	datasets/MSV000078787_specs_ms.mgf
420	663	475.288	0	663	datasets/MSV000078787_specs_ms.mgf
426	668	476.817	0	668	datasets/MSV000078787_specs_ms.mgf
426	669	477.048	0	669	datasets/MSV000078787_specs_ms.mgf
426	670	477.251	0	670	datasets/MSV000078787_specs_ms.mgf
426	672	477.26	0	672	datasets/MSV000078787_specs_ms.mgf
433	679	478.136	0	679	datasets/MSV000078787_specs_ms.mgf
433	681	478.183	0	681	datasets/MSV000078787_specs_ms.mgf
433	682	478.235	0	682	datasets/MSV000078787_specs_ms.mgf
433	686	478.438	0	686	datasets/MSV000078787_specs_ms.mgf
437	675	478.803	0	675	datasets/MSV000078787_specs_ms.mgf
437	688	479.294	0	688	datasets/MSV000078787_specs_ms.mgf
440	689	479.291	0	689	datasets/MSV000078787_specs_ms.mgf
440	690	479.293	0	690	datasets/MSV000078787_specs_ms.mgf
440	691	480.221	0	691	datasets/MSV000078787_specs_ms.mgf
440	692	480.227	0	692	datasets/MSV000078787_specs_ms.mgf
440	693	480.228	0	693	datasets/MSV000078787_specs_ms.mgf
443	697	480.454	0	697	datasets/MSV000078787_specs_ms.mgf
443	698	481.222	0	698	datasets/MSV000078787_specs_ms.mgf
443	699	481.243	0	699	datasets/MSV000078787_specs_ms.mgf
443	701	481.388	0	701	datasets/MSV000078787_specs_ms.mgf
447	703	482.243	0	703	datasets/MSV000078787_specs_ms.mgf
447	704	482.244	0	704	datasets/MSV000078787_specs_ms.mgf
447	705	482.244	0	705	datasets/MSV000078787_specs_ms.mgf
447	706	482.255	0	706	datasets/MSV000078787_specs_ms.mgf
447	707	482.258	0	707	datasets/MSV000078787_specs_ms.mgf
447	709	483.191	0	709	datasets/MSV000078787_specs_ms.mgf
447	710	483.204	0	710	datasets/MSV000078787_specs_ms.mgf
447	717	484.187	0	717	datasets/MSV000078787_specs_ms.mgf
447	724	484.745	0	724	datasets/MSV000078787_specs_ms.mgf
447	725	484.763	0	725	datasets/MSV000078787_specs_ms.mgf
450	712	483.251	0	712	datasets/MSV000078787_specs_ms.mgf
450	719	484.212	0	719	datasets/MSV000078787_specs_ms.mgf
450	726	485.189	0	726	datasets/MSV000078787_specs_ms.mgf
456	720	484.27	0	720	datasets/MSV000078787_specs_ms.mgf
456	723	484.379	0	723	datasets/MSV000078787_specs_ms.mgf
459	728	485.276	0	728	datasets/MSV000078787_specs_ms.mgf
459	729	485.279	0	729	datasets/MSV000078787_specs_ms.mgf
460	730	485.283	0	730	datasets/MSV000078787_specs_ms.mgf
460	731	486.118	0	731	datasets/MSV000078787_specs_ms.mgf
460	732	486.199	0	732	datasets/MSV000078787_specs_ms.mgf
460	733	486.2	0	733	datasets/MSV000078787_specs_ms.mgf
460	734	486.202	0	734	datasets/MSV000078787_specs_ms.mgf
460	736	486.212	0	736	datasets/MSV000078787_specs_ms.mgf
462	737	486.355	0	737	datasets/MSV000078787_specs_ms.mgf
462	738	486.362	0	738	datasets/MSV000078787_specs_ms.mgf
464	740	486.413	0	740	datasets/MSV000078787_specs_ms.mgf
